站点,最高阵风风速,最高阵风日期,最高阵风时间,最高平均风速,最高平均风速日期,最高平均风速时间,阵风时间,平均风速时间
黃麻角(赤柱),157,16/9,14:00,101,16/9,15:00,16/9 14:00,16/9 15:00
中環碼頭,169,16/9,12:30,99,16/9,13:00,16/9 12:30,16/9 13:00
長洲,212,16/9,14:10,151,16/9,15:00,16/9 14:10,16/9 15:00
長洲泳灘,209,16/9,12:01,142,16/9,14:00,16/9 12:01,16/9 14:00
青洲,229,16/9,10:29,124,16/9,11:00,16/9 10:29,16/9 11:00
香港國際機場,157,16/9,16:26,99,16/9,15:00,16/9 16:26,16/9 15:00
啟德,142,16/9,10:28,77,16/9,17:00,16/9 10:28,16/9 17:00
京士柏,161,16/9,10:17,67,16/9,15:00,16/9 10:17,16/9 15:00
流浮山,166,16/9,12:40,96,16/9,14:00,16/9 12:40,16/9 14:00
北角,171,16/9,12:51,110,16/9,13:00,16/9 12:51,16/9 13:00
平洲,124,16/9,11:30,47,16/9,11:00,16/9 11:30,16/9 11:00
西貢,180,16/9,11:43,108,16/9,12:00,16/9 11:43,16/9 12:00
沙洲,164,16/9,14:02,103,16/9,15:00,16/9 14:02,16/9 15:00
沙螺灣,169,16/9,14:11,87,16/9,15:00,16/9 14:11,16/9 15:00
沙田,149,16/9,11:42,47,16/9,11:00,16/9 11:42,16/9 11:00
石崗,164,16/9,11:22,72,16/9,15:00,16/9 11:22,16/9 15:00
九龍天星碼頭,135,16/9,13:48,79,16/9,14:00,16/9 13:48,16/9 14:00
打鼓嶺,133,16/9,13:28,52,16/9,11:00,16/9 13:28,16/9 11:00
大美督,198,16/9,12:08,139,16/9,13:00,16/9 12:08,16/9 13:00
大帽山,250,16/9,14:05,167,16/9,15:00,16/9 14:05,16/9 15:00
大埔滘,146,16/9,13:09,88,16/9,13:00,16/9 13:09,16/9 13:00
大老山,256,16/9,10:33,158,16/9,12:00,16/9 10:33,16/9 12:00
將軍澳,153,16/9,10:40,52,16/9,11:00,16/9 10:40,16/9 11:00
青衣島蜆殼油庫,137,16/9,14:22,58,16/9,15:00,16/9 14:22,16/9 15:00
屯門政府合署,133,16/9,14:01,51,16/9,17:00,16/9 14:01,16/9 17:00
橫瀾島,220,16/9,10:14,158,16/9,11:00,16/9 10:14,16/9 11:00
濕地公園,130,16/9,13:06,58,16/9,14:00,16/9 13:06,16/9 14:00
黃竹坑,173,16/9,13:40,54,16/9,14:00,16/9 13:40,16/9 14:00
